index,year,month,day,big_endian_date,little_endian_date,us_date,title,authors,first_author,second_author,pseudonym_of
3927,2006,12,17,2006-12-17,17/12/2006,12/17/2006,Cross,James Patterson,James Patterson,,
3928,2006,12,24,2006-12-24,24/12/2006,12/24/2006,For One More Day,Mitch Albom,Mitch Albom,,
3929,2006,12,31,2006-12-31,31/12/2006,12/31/2006,For One More Day,Mitch Albom,Mitch Albom,,
3930,2007,1,7,2007-1-7,7/1/2007,1/7/2007,For One More Day,Mitch Albom,Mitch Albom,,
3931,2007,1,14,2007-1-14,14/1/2007,1/14/2007,For One More Day,Mitch Albom,Mitch Albom,,
3932,2007,1,21,2007-1-21,21/1/2007,1/21/2007,For One More Day,Mitch Albom,Mitch Albom,,
3933,2007,1,28,2007-1-28,28/1/2007,1/28/2007,Plum Lovin',Janet Evanovich,Janet Evanovich,,
3934,2007,2,4,2007-2-4,4/2/2007,2/4/2007,Plum Lovin',Janet Evanovich,Janet Evanovich,,
3935,2007,2,11,2007-2-11,11/2/2007,2/11/2007,Plum Lovin',Janet Evanovich,Janet Evanovich,,
3936,2007,2,18,2007-2-18,18/2/2007,2/18/2007,Plum Lovin',Janet Evanovich,Janet Evanovich,,
3937,2007,2,25,2007-2-25,25/2/2007,2/25/2007,Step on a Crack,James Patterson,James Patterson,,
3938,2007,3,4,2007-3-4,4/3/2007,3/4/2007,Step on a Crack,James Patterson,James Patterson,,
3939,2007,3,11,2007-3-11,11/3/2007,3/11/2007,Innocent in Death,J.D. Robb,J.D. Robb,,
3940,2007,3,18,2007-3-18,18/3/2007,3/18/2007,Shopaholic and Baby,Sophie Kinsella,Sophie Kinsella,,
3941,2007,3,25,2007-3-25,25/3/2007,3/25/2007,Nineteen Minutes,Jodi Picoult,Jodi Picoult,,
3942,2007,4,1,2007-4-1,1/4/2007,4/1/2007,Nineteen Minutes,Jodi Picoult,Jodi Picoult,,
3943,2007,4,8,2007-4-8,8/4/2007,4/8/2007,Nineteen Minutes,Jodi Picoult,Jodi Picoult,,
3944,2007,4,15,2007-4-15,15/4/2007,4/15/2007,Nineteen Minutes,Jodi Picoult,Jodi Picoult,,
3945,2007,4,22,2007-4-22,22/4/2007,4/22/2007,I Heard That Song Before,Mary Higgins Clark,Mary Higgins Clark,,
3946,2007,4,29,2007-4-29,29/4/2007,4/29/2007,I Heard That Song Before,Mary Higgins Clark,Mary Higgins Clark,,
3947,2007,5,6,2007-5-6,6/5/2007,5/6/2007,The Children of Húrin,J. R. R. Tolkien,J. R. R. Tolkien,,
3948,2007,5,13,2007-5-13,13/5/2007,5/13/2007,Simple Genius,David Baldacci,David Baldacci,,
3949,2007,5,20,2007-5-20,20/5/2007,5/20/2007,Simple Genius,David Baldacci,David Baldacci,,
3950,2007,5,27,2007-5-27,27/5/2007,5/27/2007,The 6th Target,James Patterson and Maxine Paetro,James Patterson,Maxine Paetro,
3951,2007,6,3,2007-6-3,3/6/2007,6/3/2007,The 6th Target,James Patterson and Maxine Paetro,James Patterson,Maxine Paetro,
3952,2007,6,10,2007-6-10,10/6/2007,6/10/2007,A Thousand Splendid Suns,Khaled Hosseini,Khaled Hosseini,,
3953,2007,6,17,2007-6-17,17/6/2007,6/17/2007,A Thousand Splendid Suns,Khaled Hosseini,Khaled Hosseini,,
